Category: All categories

Month,diet: (United States)
2004-01,100
2004-02,76
2004-03,71
2004-04,69
2004-05,78
2004-06,68
2004-07,63
2004-08,55
2004-09,54
2004-10,52
2004-11,51
2004-12,46
2005-01,64
2005-02,53
2005-03,58
2005-04,59
2005-05,59
2005-06,57
2005-07,56
2005-08,53
2005-09,47
2005-10,48
2005-11,47
2005-12,39
2006-01,67
2006-02,54
2006-03,54
2006-04,55
2006-05,53
2006-06,59
2006-07,55
2006-08,53
2006-09,49
2006-10,48
2006-11,47
2006-12,40
2007-01,65
2007-02,57
2007-03,60
2007-04,61
2007-05,56
2007-06,60
2007-07,57
2007-08,50
2007-09,52
2007-10,50
2007-11,45
2007-12,40
2008-01,64
2008-02,54
2008-03,53
2008-04,55
2008-05,50
2008-06,49
2008-07,52
2008-08,50
2008-09,48
2008-10,49
2008-11,47
2008-12,44
2009-01,66
2009-02,54
2009-03,57
2009-04,55
2009-05,55
2009-06,53
2009-07,53
2009-08,50
2009-09,47
2009-10,48
2009-11,45
2009-12,41
2010-01,66
2010-02,57
2010-03,59
2010-04,56
2010-05,57
2010-06,53
2010-07,51
2010-08,51
2010-09,50
2010-10,48
2010-11,45
2010-12,44
2011-01,75
2011-02,66
2011-03,67
2011-04,72
2011-05,69
2011-06,65
2011-07,64
2011-08,60
2011-09,57
2011-10,56
2011-11,55
2011-12,51
2012-01,80
2012-02,71
2012-03,71
2012-04,68
2012-05,64
2012-06,62
2012-07,64
2012-08,61
2012-09,56
2012-10,53
2012-11,50
2012-12,48
2013-01,76
2013-02,71
2013-03,68
2013-04,69
2013-05,64
2013-06,63
2013-07,64
2013-08,58
2013-09,53
2013-10,53
2013-11,48
2013-12,47
2014-01,71
2014-02,62
2014-03,61
2014-04,59
2014-05,58
2014-06,55
2014-07,53
2014-08,48
2014-09,48
2014-10,46
2014-11,40
2014-12,42
2015-01,62
2015-02,52
2015-03,56
2015-04,56
2015-05,52
2015-06,54
2015-07,51
2015-08,48
2015-09,46
2015-10,44
2015-11,40
2015-12,40
2016-01,60
2016-02,54
2016-03,54
2016-04,54
2016-05,52
2016-06,51
2016-07,48
2016-08,50
2016-09,44
2016-10,42
2016-11,39
2016-12,40
2017-01,60
2017-02,65
2017-03,59
2017-04,58
2017-05,57
2017-06,57
2017-07,61
2017-08,53
2017-09,48
2017-10,50
2017-11,46
2017-12,46
2018-01,74
2018-02,67
2018-03,66
2018-04,71
2018-05,69
